category_id,category,title,rating,duration
ct314,Action & Adventure,Super Me,TV-14,104 min
ct315,Action & Adventure,Jaws,PG,124 min
ct316,Action & Adventure,Black '47,R,100 min
ct317,Action & Adventure,Kung Fu Yoga,TV-PG,107 min
ct318,Action & Adventure,Dilwale,TV-PG,154 min
ct319,Action & Adventure,Heroes Wanted,TV-MA,97 min
ct320,Action & Adventure,Jis Desh Men Ganga Behti Hai,TV-14,181 min
ct321,Action & Adventure,The Cloverfield Paradox,PG-13,102 min
ct322,Action & Adventure,Spenser Confidential,R,111 min
ct323,Action & Adventure,The Darkest Hour,PG-13,89 min
ct324,Action & Adventure,Petta (Telugu Version),TV-14,170 min
ct325,Action & Adventure,The Whole Nine Yards,R,99 min
ct326,Action & Adventure,Berserk: The Golden Age Arc III - The Advent,TV-MA,107 min
ct327,Action & Adventure,EVANGELION: DEATH (TRUE)²,TV-MA,69 min
ct328,Action & Adventure,Brothers,TV-14,155 min
ct329,Action & Adventure,Olympus Has Fallen,R,119 min
ct330,Action & Adventure,Under Siege,R,102 min
ct331,Action & Adventure,Jaal,TV-14,162 min
ct332,Action & Adventure,Monty Python and the Holy Grail,PG,92 min
ct333,Action & Adventure,The Beast Stalker,TV-14,110 min
ct334,Action & Adventure,Sabotage,R,109 min
ct335,Action & Adventure,FullMetal Alchemist,TV-PG,134 min
ct336,Action & Adventure,Lost Bullet,TV-MA,93 min
ct337,Action & Adventure,Alien Warfare,TV-MA,88 min
ct338,Action & Adventure,Baahubali: The Beginning (Hindi Version),TV-14,159 min
ct339,Action & Adventure,InuYasha: The Movie 2: The Castle Beyond the Looking Glass,TV-14,99 min
ct340,Action & Adventure,Rampage: President Down,TV-MA,100 min
ct341,Action & Adventure,Inuyasha the Movie - La spada del dominatore del mondo,TV-14,99 min
ct342,Action & Adventure,Inuyasha the Movie - L'isola del fuoco scarlatto,TV-PG,88 min
ct343,Action & Adventure,GODZILLA The Planet Eater,TV-PG,91 min
ct344,Action & Adventure,Lady Bloodfight,R,101 min
ct345,Action & Adventure,El último testigo,R,105 min
ct346,Action & Adventure,Stronger Than the World,NR,123 min
ct347,Action & Adventure,Tremors 6: A Cold Day in Hell,PG-13,98 min
ct348,Action & Adventure,Standoff,R,86 min
ct349,Action & Adventure,Larceny,TV-14,87 min
ct350,Action & Adventure,Spy Time,TV-MA,93 min
ct351,Action & Adventure,G.O.R.A,TV-MA,123 min
ct352,Action & Adventure,Last Knights,R,115 min
ct353,Action & Adventure,Insan,TV-14,141 min
ct354,Action & Adventure,Backdraft 2,R,102 min
ct355,Action & Adventure,Army of the Dead,R,148 min
ct356,Action & Adventure,Snowpiercer,R,126 min
ct357,Action & Adventure,Wheelman,TV-MA,82 min
ct358,Action & Adventure,Inkheart,PG,106 min
ct359,Action & Adventure,Inglourious Basterds,R,153 min
ct360,Action & Adventure,Indiana Jones and the Temple of Doom,PG,119 min
ct361,Action & Adventure,We'll Be Right Back After The Break,TV-14,106 min
ct362,Action & Adventure,Trimurti,TV-PG,173 min
ct363,Action & Adventure,Beowulf,PG-13,114 min
ct364,Action & Adventure,Left Behind,PG-13,110 min
ct365,Action & Adventure,Salaakhen,TV-14,134 min
ct366,Action & Adventure,Judwaa 2,TV-14,145 min
ct367,Action & Adventure,Legend of the Naga Pearls,TV-MA,108 min
ct368,Action & Adventure,Legendary Weapons of China,TV-14,101 min
ct369,Action & Adventure,Indiana Jones and the Last Crusade,PG-13,127 min
ct370,Action & Adventure,The Witcher: Nightmare of the Wolf,TV-MA,84 min
ct371,Action & Adventure,Shaitan,TV-MA,126 min
ct372,Action & Adventure,Battle Drone,TV-MA,94 min
ct373,Action & Adventure,Battle: Los Angeles,PG-13,116 min
ct374,Action & Adventure,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,123 min
ct375,Action & Adventure,Incoming,TV-MA,89 min
ct376,Action & Adventure,In Search of Fellini,R,103 min
ct377,Action & Adventure,Kung Fu Hustle,R,99 min
ct378,Action & Adventure,Gatao - The Last Stray,TV-MA,120 min
ct379,Action & Adventure,The Next Karate Kid,PG,107 min
ct380,Action & Adventure,Revenger,TV-MA,102 min
ct381,Action & Adventure,The Bare-Footed Kid,TV-14,83 min
ct382,Action & Adventure,Iceman,R,104 min
ct383,Action & Adventure,Organize Isler,TV-14,104 min
ct384,Action & Adventure,Wild Dog,TV-MA,126 min
ct385,Action & Adventure,Crocodile Dundee in Los Angeles,PG,95 min
ct386,Action & Adventure,Don,TV-14,169 min
ct387,Action & Adventure,I Am Vengeance,R,93 min
ct388,Action & Adventure,Lifeline,TV-14,104 min
ct389,Action & Adventure,Don 2,TV-14,148 min
ct390,Action & Adventure,Lion's Heart,TV-14,111 min
ct391,Action & Adventure,Submission,TV-MA,95 min
ct392,Action & Adventure,Players,TV-14,162 min
ct393,Action & Adventure,Pineapple Express,R,112 min
ct394,Action & Adventure,Baahubali 2: The Conclusion (Tamil Version),TV-MA,166 min
ct395,Action & Adventure,Little Dragon Maiden,TV-14,92 min
ct396,Action & Adventure,The Great Battle,TV-MA,136 min
ct397,Action & Adventure,Steel Rain,TV-MA,140 min
ct398,Action & Adventure,Pandigai,TV-MA,125 min
ct399,Action & Adventure,Altered Carbon: Resleeved,TV-MA,75 min
ct400,Action & Adventure,Baadshaho,TV-14,135 min
ct401,Action & Adventure,Delhi Belly,TV-MA,101 min
ct402,Action & Adventure,Beckett,TV-MA,110 min
ct403,Action & Adventure,Hunter's Prayer,R,91 min
ct404,Action & Adventure,Hunt to Kill,R,97 min
ct405,Action & Adventure,The Great Gambler,TV-14,161 min
ct406,Action & Adventure,The End of Evangelion,TV-MA,87 min
ct407,Action & Adventure,Troy: The Odyssey,TV-MA,90 min
ct408,Action & Adventure,Lakshya,TV-PG,185 min
ct409,Action & Adventure,Occupation,R,120 min
ct410,Action & Adventure,Hulk Vs.,PG-13,83 min
ct411,Action & Adventure,"Game Over, Man!",TV-MA,102 min
ct412,Action & Adventure,Waar,TV-MA,130 min
ct413,Action & Adventure,Arjun: The Warrior Prince,TV-14,91 min
ct414,Action & Adventure,Tracers,PG-13,94 min
ct415,Action & Adventure,Sweet Girl,R,110 min
ct416,Action & Adventure,Revolt,R,87 min
ct417,Action & Adventure,Three,TV-MA,88 min
ct418,Action & Adventure,Rush,R,123 min
ct419,Action & Adventure,Acts of Vengeance,R,87 min
ct420,Action & Adventure,Dragonheart: Vengeance,PG-13,97 min
ct421,Action & Adventure,Elaan,TV-14,143 min
ct422,Action & Adventure,"Lock, Stock and Two Smoking Barrels",R,108 min
ct423,Action & Adventure,Gollu Aur Pappu,TV-14,112 min
ct424,Action & Adventure,Thor: Ragnarok,PG-13,131 min
ct425,Action & Adventure,Stardust,PG-13,128 min
ct426,Action & Adventure,Lockout,PG-13,95 min
ct427,Action & Adventure,World Trade Center,PG-13,129 min
ct428,Action & Adventure,Time Trap,TV-14,88 min
ct429,Action & Adventure,The Outlaw Josey Wales,PG,136 min
ct430,Action & Adventure,Logan's Run,PG,118 min
ct431,Action & Adventure,GANTZ:O,TV-MA,96 min
ct432,Action & Adventure,Phantom Boy,PG,85 min
ct433,Action & Adventure,Thong Dee Fun Khao,TV-MA,122 min
ct434,Action & Adventure,Outlaw King,R,122 min
ct435,Action & Adventure,Swordfish,R,99 min
ct436,Action & Adventure,Gabbar Is Back,TV-14,128 min
ct437,Action & Adventure,Main Hoon Na,TV-14,171 min
ct438,Action & Adventure,Hickok,TV-MA,88 min
ct439,Action & Adventure,Streets of Fire,PG,94 min
ct440,Action & Adventure,Hero,TV-MA,89 min
ct441,Action & Adventure,Starsky & Hutch,PG-13,101 min
ct442,Action & Adventure,Sniper: Legacy,R,98 min
ct443,Action & Adventure,Andaz Apna Apna,TV-14,160 min
ct444,Action & Adventure,"Look Out, Officer",TV-14,88 min
ct445,Action & Adventure,Hera Pheri,TV-14,156 min
ct446,Action & Adventure,Seven Souls in the Skull Castle: Season Moon Kagen,TV-PG,212 min
ct447,Action & Adventure,Awara Paagal Deewana,TV-14,162 min
ct448,Action & Adventure,Seven Souls in the Skull Castle: Season Moon Jogen,TV-14,204 min
ct449,Action & Adventure,Hellboy,PG-13,122 min
ct450,Action & Adventure,The Last Airbender,PG,104 min
ct451,Action & Adventure,The Lord of the Rings: The Return of the King,PG-13,201 min
ct452,Action & Adventure,Hell and Back,R,86 min
ct453,Action & Adventure,Himmatwala,TV-14,140 min
ct454,Action & Adventure,Haywire,R,93 min
ct455,Action & Adventure,The World Is Yours,TV-MA,101 min
ct456,Action & Adventure,Haseena Maan Jaayegi,TV-PG,151 min
ct457,Action & Adventure,Saaho,TV-14,172 min
ct458,Action & Adventure,Master,NR,143 min
ct459,Action & Adventure,Ninja Assassin,R,99 min
ct460,Action & Adventure,I Am Wrath,R,91 min
ct461,Action & Adventure,Never Back Down 2: The Beatdown,R,104 min
ct462,Action & Adventure,John Carter,PG-13,133 min
ct463,Action & Adventure,Love on Delivery,TV-14,93 min
ct464,Action & Adventure,Hardcore Henry,R,96 min
ct465,Action & Adventure,Beyond Skyline,R,107 min
